final_cost=58 | time=0.01099848747253418 | route=[7, 4, 3, 14, 6, 15, 11, 0, 8, 16, 1, 10, 2, 13, 9, 12, 5] | tabu_value=3 | iter_number=10
final_cost=101 | time=0.011496782302856445 | route=[12, 9, 14, 15, 3, 5, 6, 11, 0, 2, 13, 1, 10, 7, 8, 16, 4] | tabu_value=3 | iter_number=10
final_cost=57 | time=0.0564723014831543 | route=[11, 15, 5, 7, 8, 16, 12, 10, 9, 1, 2, 13, 0, 6, 4, 3, 14] | tabu_value=3 | iter_number=50
final_cost=65 | time=0.05299830436706543 | route=[7, 11, 0, 5, 6, 4, 3, 15, 14, 8, 16, 1, 10, 9, 12, 2, 13] | tabu_value=3 | iter_number=50
final_cost=56 | time=0.05900001525878906 | route=[0, 11, 14, 6, 5, 9, 12, 8, 16, 7, 3, 4, 15, 1, 2, 13, 10] | tabu_value=3 | iter_number=50
final_cost=46 | time=0.055498361587524414 | route=[7, 16, 8, 12, 9, 6, 3, 4, 15, 5, 14, 1, 10, 2, 13, 11, 0] | tabu_value=3 | iter_number=50
final_cost=101 | time=0.06300020217895508 | route=[9, 12, 14, 6, 5, 3, 16, 7, 8, 0, 11, 2, 13, 1, 10, 15, 4] | tabu_value=3 | iter_number=50
final_cost=40 | time=0.05500054359436035 | route=[10, 0, 11, 5, 15, 14, 6, 4, 3, 7, 8, 16, 9, 12, 13, 2, 1] | tabu_value=3 | iter_number=50
final_cost=62 | time=0.0585322380065918 | route=[14, 11, 13, 2, 1, 10, 7, 8, 16, 9, 12, 5, 6, 3, 4, 15, 0] | tabu_value=3 | iter_number=50
final_cost=55 | time=0.05203366279602051 | route=[15, 11, 0, 6, 14, 4, 3, 5, 9, 1, 2, 13, 12, 10, 7, 16, 8] | tabu_value=3 | iter_number=50
final_cost=58 | time=0.051535844802856445 | route=[9, 10, 0, 11, 7, 8, 16, 6, 1, 2, 13, 12, 14, 4, 3, 15, 5] | tabu_value=3 | iter_number=50
final_cost=76 | time=0.06199908256530762 | route=[9, 12, 2, 13, 10, 1, 0, 11, 16, 8, 7, 14, 5, 15, 6, 3, 4] | tabu_value=3 | iter_number=50
final_cost=55 | time=0.0625309944152832 | route=[16, 8, 7, 4, 3, 15, 14, 12, 1, 5, 6, 0, 11, 2, 13, 9, 10] | tabu_value=3 | iter_number=50
final_cost=108 | time=0.052500247955322266 | route=[13, 2, 12, 1, 9, 10, 0, 11, 14, 6, 15, 5, 16, 7, 8, 3, 4] | tabu_value=3 | iter_number=50
final_cost=87 | time=0.054033517837524414 | route=[3, 4, 8, 16, 7, 6, 5, 14, 15, 12, 2, 13, 11, 0, 1, 9, 10] | tabu_value=3 | iter_number=50
final_cost=46 | time=0.05049896240234375 | route=[1, 8, 16, 7, 10, 12, 9, 2, 13, 11, 0, 14, 6, 5, 4, 3, 15] | tabu_value=3 | iter_number=50
final_cost=46 | time=0.048998355865478516 | route=[10, 14, 3, 4, 15, 5, 6, 12, 13, 2, 0, 11, 16, 8, 7, 9, 1] | tabu_value=3 | iter_number=50
final_cost=58 | time=0.05100417137145996 | route=[1, 10, 6, 14, 15, 5, 0, 11, 2, 13, 9, 12, 7, 3, 4, 8, 16] | tabu_value=3 | iter_number=50
final_cost=41 | time=0.05053520202636719 | route=[15, 12, 9, 10, 1, 13, 2, 0, 11, 16, 8, 7, 5, 6, 14, 3, 4] | tabu_value=3 | iter_number=50
final_cost=58 | time=0.04899764060974121 | route=[11, 0, 14, 5, 15, 12, 10, 13, 2, 1, 9, 16, 7, 4, 3, 6, 8] | tabu_value=3 | iter_number=50
final_cost=42 | time=0.049498558044433594 | route=[3, 4, 5, 14, 11, 0, 10, 1, 2, 13, 12, 9, 16, 7, 8, 6, 15] | tabu_value=3 | iter_number=50
final_cost=39 | time=0.053029537200927734 | route=[7, 8, 3, 4, 6, 14, 15, 5, 0, 11, 2, 13, 12, 1, 10, 9, 16] | tabu_value=3 | iter_number=50
final_cost=89 | time=0.05303454399108887 | route=[3, 4, 14, 5, 10, 12, 9, 13, 2, 1, 6, 15, 7, 8, 16, 0, 11] | tabu_value=3 | iter_number=50
final_cost=48 | time=0.06799840927124023 | route=[0, 15, 4, 3, 14, 5, 6, 12, 9, 10, 1, 16, 8, 7, 11, 2, 13] | tabu_value=3 | iter_number=50
final_cost=97 | time=0.05049920082092285 | route=[2, 13, 10, 7, 8, 16, 5, 6, 12, 9, 1, 11, 0, 15, 4, 3, 14] | tabu_value=3 | iter_number=50
final_cost=46 | time=0.05549788475036621 | route=[1, 9, 10, 5, 6, 15, 4, 3, 14, 12, 2, 13, 0, 11, 16, 7, 8] | tabu_value=3 | iter_number=50
final_cost=46 | time=0.0514988899230957 | route=[5, 14, 12, 10, 8, 16, 7, 11, 0, 2, 13, 1, 9, 15, 3, 4, 6] | tabu_value=3 | iter_number=50
final_cost=103 | time=0.05049943923950195 | route=[9, 1, 10, 12, 5, 6, 14, 3, 7, 16, 8, 11, 13, 2, 0, 15, 4] | tabu_value=3 | iter_number=50
final_cost=61 | time=0.04953289031982422 | route=[2, 10, 6, 3, 4, 16, 7, 8, 11, 0, 13, 9, 12, 15, 5, 14, 1] | tabu_value=3 | iter_number=50
final_cost=95 | time=0.05300092697143555 | route=[10, 11, 0, 16, 9, 1, 13, 2, 12, 15, 14, 5, 6, 7, 8, 3, 4] | tabu_value=3 | iter_number=50
final_cost=54 | time=0.050034523010253906 | route=[12, 9, 13, 2, 1, 10, 0, 11, 6, 15, 5, 14, 7, 8, 3, 4, 16] | tabu_value=3 | iter_number=50
final_cost=55 | time=0.050498008728027344 | route=[8, 7, 3, 4, 15, 5, 16, 1, 9, 12, 10, 13, 2, 11, 0, 14, 6] | tabu_value=3 | iter_number=50
final_cost=53 | time=0.051000356674194336 | route=[3, 4, 14, 6, 10, 1, 9, 11, 0, 2, 13, 12, 5, 15, 7, 8, 16] | tabu_value=3 | iter_number=50
final_cost=51 | time=0.06798362731933594 | route=[8, 4, 3, 15, 12, 2, 13, 10, 9, 1, 0, 11, 5, 6, 14, 7, 16] | tabu_value=3 | iter_number=50
final_cost=92 | time=0.05099940299987793 | route=[0, 11, 12, 6, 15, 5, 8, 7, 16, 10, 1, 13, 2, 9, 14, 3, 4] | tabu_value=3 | iter_number=50
