final_cost=4277 | time=0.5000066757202148 | route=[6, 12, 11, 3, 2, 13, 5, 4, 0, 1, 7, 9, 8, 10] | tabu_value=3 | iter_number=1000
final_cost=4465 | time=0.46875476837158203 | route=[1, 0, 9, 8, 10, 7, 6, 5, 3, 13, 2, 12, 11, 4] | tabu_value=3 | iter_number=1000
final_cost=4784 | time=0.4843728542327881 | route=[13, 2, 3, 4, 9, 0, 10, 7, 12, 8, 1, 6, 11, 5] | tabu_value=3 | iter_number=1000
final_cost=3952 | time=0.46874189376831055 | route=[13, 3, 11, 5, 4, 6, 12, 8, 0, 10, 7, 9, 1, 2] | tabu_value=3 | iter_number=1000
final_cost=4177 | time=0.4843878746032715 | route=[7, 10, 8, 1, 0, 12, 6, 11, 5, 3, 4, 13, 2, 9] | tabu_value=3 | iter_number=1000
final_cost=3988 | time=0.49996328353881836 | route=[11, 3, 4, 5, 6, 12, 8, 10, 0, 9, 1, 7, 13, 2] | tabu_value=3 | iter_number=1000
final_cost=3955 | time=0.5000343322753906 | route=[11, 5, 4, 6, 12, 0, 7, 1, 10, 8, 9, 2, 13, 3] | tabu_value=3 | iter_number=1000
final_cost=4639 | time=0.5155916213989258 | route=[0, 7, 1, 3, 2, 6, 12, 4, 13, 11, 5, 10, 9, 8] | tabu_value=3 | iter_number=1000
final_cost=3861 | time=0.5312795639038086 | route=[1, 13, 2, 3, 4, 12, 6, 5, 11, 7, 10, 9, 8, 0] | tabu_value=3 | iter_number=1000
final_cost=4981 | time=0.5312201976776123 | route=[1, 0, 7, 10, 6, 12, 9, 8, 11, 13, 2, 4, 3, 5] | tabu_value=3 | iter_number=1000
final_cost=4022 | time=0.5156264305114746 | route=[2, 1, 0, 10, 8, 9, 7, 12, 4, 5, 11, 3, 13, 6] | tabu_value=3 | iter_number=1000
final_cost=4142 | time=0.500032901763916 | route=[8, 10, 0, 7, 9, 1, 2, 3, 4, 12, 13, 5, 11, 6] | tabu_value=3 | iter_number=1000
final_cost=4107 | time=0.48436737060546875 | route=[1, 2, 13, 11, 5, 6, 4, 3, 12, 9, 0, 7, 10, 8] | tabu_value=3 | iter_number=1000
final_cost=4192 | time=0.46875858306884766 | route=[6, 12, 13, 2, 0, 7, 1, 9, 8, 10, 4, 5, 11, 3] | tabu_value=3 | iter_number=1000
final_cost=4932 | time=0.4687824249267578 | route=[3, 2, 0, 1, 12, 4, 11, 6, 5, 13, 7, 8, 10, 9] | tabu_value=3 | iter_number=1000
final_cost=4399 | time=0.48436450958251953 | route=[12, 6, 11, 5, 4, 7, 1, 2, 3, 13, 8, 10, 9, 0] | tabu_value=3 | iter_number=1000
final_cost=4645 | time=0.4843928813934326 | route=[1, 0, 7, 8, 9, 10, 4, 2, 3, 12, 6, 13, 5, 11] | tabu_value=3 | iter_number=1000
final_cost=5139 | time=0.5312011241912842 | route=[9, 8, 7, 6, 3, 10, 0, 1, 2, 13, 12, 4, 5, 11] | tabu_value=3 | iter_number=1000
final_cost=3896 | time=0.515657901763916 | route=[6, 12, 1, 7, 0, 9, 10, 8, 13, 11, 5, 4, 3, 2] | tabu_value=3 | iter_number=1000
final_cost=3871 | time=0.5312209129333496 | route=[9, 10, 7, 1, 0, 13, 2, 5, 4, 3, 11, 6, 12, 8] | tabu_value=3 | iter_number=1000
final_cost=4787 | time=0.531273365020752 | route=[0, 7, 8, 9, 12, 6, 1, 13, 2, 5, 3, 11, 4, 10] | tabu_value=3 | iter_number=1000
final_cost=4428 | time=0.49999356269836426 | route=[3, 4, 5, 11, 2, 1, 12, 6, 13, 0, 9, 10, 8, 7] | tabu_value=3 | iter_number=1000
final_cost=4836 | time=0.4687507152557373 | route=[6, 12, 11, 3, 5, 4, 8, 0, 1, 2, 13, 10, 9, 7] | tabu_value=3 | iter_number=1000
final_cost=4365 | time=0.484386682510376 | route=[0, 7, 10, 8, 9, 1, 2, 11, 12, 5, 13, 3, 4, 6] | tabu_value=3 | iter_number=1000
final_cost=4833 | time=0.4843745231628418 | route=[0, 1, 10, 11, 5, 13, 6, 12, 4, 2, 3, 7, 9, 8] | tabu_value=3 | iter_number=1000
final_cost=5148 | time=0.4843754768371582 | route=[10, 8, 9, 0, 13, 1, 7, 4, 11, 5, 2, 12, 6, 3] | tabu_value=3 | iter_number=1000
final_cost=3930 | time=0.48433995246887207 | route=[4, 5, 11, 10, 8, 0, 7, 1, 9, 12, 6, 13, 2, 3] | tabu_value=3 | iter_number=1000
final_cost=4541 | time=0.5000026226043701 | route=[4, 3, 2, 0, 9, 8, 13, 6, 1, 7, 10, 12, 5, 11] | tabu_value=3 | iter_number=1000
final_cost=4492 | time=0.4999995231628418 | route=[10, 8, 6, 12, 0, 7, 9, 1, 13, 2, 3, 11, 4, 5] | tabu_value=3 | iter_number=1000
final_cost=5141 | time=0.5000009536743164 | route=[11, 4, 3, 13, 6, 10, 0, 9, 8, 2, 5, 7, 1, 12] | tabu_value=3 | iter_number=1000
final_cost=4518 | time=0.5468761920928955 | route=[7, 12, 11, 5, 4, 6, 0, 1, 3, 2, 13, 8, 10, 9] | tabu_value=3 | iter_number=1000
final_cost=4172 | time=0.4844093322753906 | route=[3, 4, 11, 5, 12, 8, 9, 0, 1, 7, 10, 2, 13, 6] | tabu_value=3 | iter_number=1000
final_cost=4929 | time=0.515618085861206 | route=[5, 11, 4, 3, 13, 10, 8, 6, 12, 2, 7, 1, 0, 9] | tabu_value=3 | iter_number=1000
final_cost=4566 | time=0.515625 | route=[3, 4, 5, 6, 12, 13, 2, 11, 10, 1, 0, 8, 9, 7] | tabu_value=3 | iter_number=1000
final_cost=4749 | time=0.5155971050262451 | route=[10, 8, 9, 7, 0, 6, 11, 1, 12, 2, 3, 4, 5, 13] | tabu_value=3 | iter_number=1000
final_cost=3631 | time=0.5937490463256836 | route=[7, 10, 12, 6, 13, 11, 5, 4, 3, 2, 1, 9, 8, 0] | tabu_value=3 | iter_number=1000

# DODANIE ASPIRACJI
final_cost=3561 | time=0.5468828678131104 | route=[13, 6, 11, 5, 4, 3, 2, 1, 9, 8, 10, 0, 7, 12] | tabu_value=3 | iter_number=1000
final_cost=3359 | time=0.5781245231628418 | route=[2, 3, 4, 5, 11, 6, 12, 10, 9, 8, 7, 0, 1, 13] | tabu_value=3 | iter_number=1000
final_cost=3638 | time=0.562495231628418 | route=[6, 11, 5, 4, 3, 2, 13, 12, 7, 0, 1, 9, 10, 8] | tabu_value=3 | iter_number=1000
final_cost=3646 | time=0.5625057220458984 | route=[6, 5, 4, 3, 2, 13, 1, 7, 0, 9, 8, 10, 12, 11] | tabu_value=3 | iter_number=1000
final_cost=3599 | time=0.5624947547912598 | route=[8, 10, 9, 7, 12, 6, 11, 5, 4, 3, 2, 13, 0, 1] | tabu_value=3 | iter_number=1000
final_cost=3647 | time=0.5624997615814209 | route=[11, 3, 2, 13, 10, 8, 9, 0, 1, 7, 12, 6, 5, 4] | tabu_value=3 | iter_number=1000
final_cost=3890 | time=0.5625059604644775 | route=[4, 5, 11, 3, 2, 13, 6, 12, 10, 8, 9, 7, 1, 0] | tabu_value=3 | iter_number=1000
final_cost=3755 | time=0.5624969005584717 | route=[1, 0, 9, 10, 7, 12, 6, 11, 5, 4, 3, 2, 13, 8] | tabu_value=3 | iter_number=1000
final_cost=3873 | time=0.5624923706054688 | route=[6, 2, 3, 4, 11, 5, 13, 12, 7, 0, 1, 9, 8, 10] | tabu_value=3 | iter_number=1000
final_cost=3688 | time=0.578125 | route=[4, 5, 11, 6, 12, 10, 8, 9, 7, 0, 1, 13, 3, 2] | tabu_value=3 | iter_number=1000
final_cost=4515 | time=0.5781567096710205 | route=[4, 3, 9, 8, 10, 12, 6, 11, 5, 7, 0, 1, 2, 13] | tabu_value=3 | iter_number=1000
final_cost=3382 | time=0.5468747615814209 | route=[8, 7, 0, 1, 13, 2, 3, 4, 11, 5, 6, 12, 10, 9] | tabu_value=3 | iter_number=1000
final_cost=4269 | time=0.562509298324585 | route=[5, 11, 6, 12, 0, 1, 2, 3, 4, 10, 8, 9, 7, 13] | tabu_value=3 | iter_number=1000
final_cost=3734 | time=0.5625030994415283 | route=[0, 7, 1, 9, 10, 12, 6, 11, 5, 4, 3, 2, 13, 8] | tabu_value=3 | iter_number=1000
final_cost=3676 | time=0.5624918937683105 | route=[13, 2, 3, 4, 11, 5, 6, 12, 7, 8, 9, 1, 0, 10] | tabu_value=3 | iter_number=1000
final_cost=3864 | time=0.5625090599060059 | route=[13, 1, 2, 3, 4, 5, 11, 6, 12, 7, 0, 10, 8, 9] | tabu_value=3 | iter_number=1000
final_cost=3663 | time=0.5624923706054688 | route=[6, 5, 12, 10, 8, 9, 7, 0, 1, 13, 2, 3, 4, 11] | tabu_value=3 | iter_number=1000
final_cost=3960 | time=0.5625009536743164 | route=[12, 6, 5, 11, 3, 2, 13, 1, 0, 9, 8, 10, 7, 4] | tabu_value=3 | iter_number=1000
final_cost=3777 | time=0.5625035762786865 | route=[11, 5, 13, 2, 3, 4, 10, 8, 9, 1, 0, 7, 12, 6] | tabu_value=3 | iter_number=1000
